data,hora,parque,area,nome,tempo_espera
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Astro Orbiter,35
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,The Barnstormer,25
2024-07-25,12:16:33,Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,45
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Buzz Lightyear's Space Ranger Spin,30
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,20
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Enchanted Tales with Belle,20
2024-07-25,12:16:33,Magic Kingdom,Liberty Square,Haunted Mansion,30
2024-07-25,12:16:33,Magic Kingdom,Área não encontrada,"""it's a small world""",25
2024-07-25,12:16:33,Magic Kingdom,Adventureland,Jungle Cruise,50
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Mad Tea Party,15
2024-07-25,12:16:33,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,15
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,The Many Adventures of Winnie the Pooh,40
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Meet Ariel at Her Grotto,35
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,35
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,25
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,30
2024-07-25,12:16:33,Magic Kingdom,Main Street USA,Meet Mickey at Town Square Theater,35
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,60
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Mickey's PhilharMagic,15
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Monsters Inc. Laugh Floor,20
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Peter Pan's Flight,Atração indiponível indefinidamente
2024-07-25,12:16:33,Magic Kingdom,Adventureland,Pirates of the Caribbean,55
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Prince Charming Regal Carrousel,5
2024-07-25,12:16:33,Magic Kingdom,Fantasyland,Seven Dwarfs Mine Train,90
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Space Mountain,60
2024-07-25,12:16:33,Magic Kingdom,Frontierland,Tiana's Bayou Adventure,25
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Tomorrowland Speedway,25
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Tomorrowland Transit Authority PeopleMover,10
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,TRON Lightcycle / Run,30
2024-07-25,12:16:33,Magic Kingdom,Tomorrowland,Under the Sea ~ Journey of The Little Mermaid,30
2024-07-25,12:21:10,Magic Kingdom,Tomorrowland,Astro Orbiter,35
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,The Barnstormer,25
2024-07-25,12:21:10,Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,45
2024-07-25,12:21:10,Magic Kingdom,Tomorrowland,Buzz Lightyear's Space Ranger Spin,30
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,30
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Enchanted Tales with Belle,20
2024-07-25,12:21:10,Magic Kingdom,Liberty Square,Haunted Mansion,30
2024-07-25,12:21:10,Magic Kingdom,Área não encontrada,"""it's a small world""",25
2024-07-25,12:21:10,Magic Kingdom,Adventureland,Jungle Cruise,50
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Mad Tea Party,15
2024-07-25,12:21:10,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,15
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,The Many Adventures of Winnie the Pooh,40
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Meet Ariel at Her Grotto,35
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,35
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,25
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,30
2024-07-25,12:21:10,Magic Kingdom,Main Street USA,Meet Mickey at Town Square Theater,35
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,60
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Mickey's PhilharMagic,15
2024-07-25,12:21:10,Magic Kingdom,Tomorrowland,Monsters Inc. Laugh Floor,20
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Peter Pan's Flight,Atração indiponível indefinidamente
2024-07-25,12:21:10,Magic Kingdom,Adventureland,Pirates of the Caribbean,45
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Prince Charming Regal Carrousel,5
2024-07-25,12:21:10,Magic Kingdom,Fantasyland,Seven Dwarfs Mine Train,90
2024-07-25,12:21:10,Magic Kingdom,Tomorrowland,Space Mountain,60
2024-07-25,12:21:10,Magic Kingdom,Frontierland,Tiana's Bayou Adventure,25
2024-07-25,12:21:10,Magic Kingdom,Tomorrowland,Tomorrowland Speedway,25
