data,hora,parque,area,nome,tempo_espera
2024-07-04,13:32:00,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,25
2024-07-04,13:32:00,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,15
2024-07-04,13:32:00,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,10
2024-07-04,13:32:00,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,30
2024-07-04,13:32:00,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,50
2024-07-04,13:32:00,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-04,13:32:00,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,40
2024-07-04,13:32:00,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,50
2024-07-04,13:32:00,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5
2024-07-04,13:32:00,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,15
2024-07-04,13:32:00,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,45
2024-07-04,13:32:00,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,30
2024-07-04,13:32:00,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,20
2024-07-04,13:32:28,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,25
2024-07-04,13:32:28,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,15
2024-07-04,13:32:28,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,10
2024-07-04,13:32:28,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,30
2024-07-04,13:32:28,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,50
2024-07-04,13:32:28,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-04,13:32:28,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,40
2024-07-04,13:32:28,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,50
2024-07-04,13:32:28,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5
2024-07-04,13:32:28,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,15
2024-07-04,13:32:28,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,45
2024-07-04,13:32:28,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,30
2024-07-04,13:32:28,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,20
2024-07-04,13:32:44,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,25
2024-07-04,13:32:44,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,15
2024-07-04,13:32:44,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,10
2024-07-04,13:32:44,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,30
2024-07-04,13:32:44,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,50
2024-07-04,13:32:44,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-04,13:32:44,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,40
2024-07-04,13:32:44,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,50
2024-07-04,13:32:44,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5
2024-07-04,13:32:44,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,15
2024-07-04,13:32:44,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,45
2024-07-04,13:32:44,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,30
2024-07-04,13:32:44,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,20
2024-07-04,13:47:39,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,10
2024-07-04,13:47:39,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,15
2024-07-04,13:47:39,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,30
2024-07-04,13:47:39,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,40
2024-07-04,13:47:39,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,50
2024-07-04,13:47:39,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-04,13:47:39,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,60
2024-07-04,13:47:39,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,50
2024-07-04,13:47:39,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5
2024-07-04,13:47:39,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,15
2024-07-04,13:47:39,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,40
2024-07-04,13:47:39,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,25
2024-07-04,13:47:39,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,20
2024-07-04,13:47:58,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,10
2024-07-04,13:47:58,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,15
2024-07-04,13:47:58,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,30
2024-07-04,13:47:58,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,40
2024-07-04,13:47:58,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,50
2024-07-04,13:47:58,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-04,13:47:58,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,60
2024-07-04,13:47:58,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,50
2024-07-04,13:47:58,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5
2024-07-04,13:47:58,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,15
2024-07-04,13:47:58,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,40
2024-07-04,13:47:58,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,25
2024-07-04,13:47:58,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,20
2024-07-04,13:48:07,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,10
2024-07-04,13:48:07,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,15
2024-07-04,13:48:07,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,30
2024-07-04,13:48:07,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,40
2024-07-04,13:48:07,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,50
2024-07-04,13:48:07,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-04,13:48:07,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,60
