data,hora,parque,area,nome,tempo_espera
2024-07-04,13:32:00,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,45
2024-07-04,13:32:00,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,10
2024-07-04,13:32:00,Disney's Animal Kingdom,Asia,Expedition Everest,40
2024-07-04,13:32:00,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-04,13:32:00,Disney's Animal Kingdom,Asia,Kali River Rapids,Atração indisponível agora
2024-07-04,13:32:00,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,15
2024-07-04,13:32:00,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,25
2024-07-04,13:32:00,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,50
2024-07-04,13:32:00,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-04,13:32:29,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,45
2024-07-04,13:32:29,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,10
2024-07-04,13:32:29,Disney's Animal Kingdom,Asia,Expedition Everest,40
2024-07-04,13:32:29,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-04,13:32:29,Disney's Animal Kingdom,Asia,Kali River Rapids,Atração indisponível agora
2024-07-04,13:32:29,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,15
2024-07-04,13:32:29,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,25
2024-07-04,13:32:29,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,50
2024-07-04,13:32:29,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-04,13:32:45,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,45
2024-07-04,13:32:45,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,10
2024-07-04,13:32:45,Disney's Animal Kingdom,Asia,Expedition Everest,40
2024-07-04,13:32:45,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-04,13:32:45,Disney's Animal Kingdom,Asia,Kali River Rapids,Atração indisponível agora
2024-07-04,13:32:45,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,15
2024-07-04,13:32:45,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,25
2024-07-04,13:32:45,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,50
2024-07-04,13:32:45,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
