data,hora,parque,area,nome,tempo_espera
2024-07-25,12:42:21,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,12:42:21,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,80
2024-07-25,12:42:21,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,40
2024-07-25,12:42:21,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,25
2024-07-25,12:42:21,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,12:42:21,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:42:21,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,170
2024-07-25,12:52:42,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,45
2024-07-25,12:52:42,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,35
2024-07-25,12:52:42,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,25
2024-07-25,12:52:42,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,65
2024-07-25,12:52:42,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,90
2024-07-25,12:52:42,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,12:52:42,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,12:52:42,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,85
2024-07-25,12:52:42,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,40
2024-07-25,12:52:42,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,25
2024-07-25,12:52:42,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,12:52:42,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:52:42,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,170
2024-07-25,12:54:15,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,45
2024-07-25,12:54:15,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,35
2024-07-25,12:54:15,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,25
2024-07-25,12:54:15,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,65
2024-07-25,12:54:15,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,90
2024-07-25,12:54:15,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,12:54:15,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,12:54:15,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,85
2024-07-25,12:54:15,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,40
2024-07-25,12:54:15,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,25
2024-07-25,12:54:15,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,12:54:15,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:54:15,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,170
2024-07-25,12:59:29,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,45
2024-07-25,12:59:29,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,35
2024-07-25,12:59:29,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,15
2024-07-25,12:59:29,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,65
2024-07-25,12:59:29,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,95
2024-07-25,12:59:29,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,12:59:29,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,12:59:29,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,85
2024-07-25,12:59:29,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,40
2024-07-25,12:59:29,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,25
2024-07-25,12:59:29,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,12:59:29,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,12:59:29,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,170
2024-07-25,13:04:42,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,45
2024-07-25,13:04:42,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,40
2024-07-25,13:04:42,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,15
2024-07-25,13:04:42,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,65
2024-07-25,13:04:42,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,95
2024-07-25,13:04:42,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,13:04:42,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,13:04:42,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,85
2024-07-25,13:04:42,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,40
2024-07-25,13:04:42,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,25
2024-07-25,13:04:42,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,13:04:42,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,13:04:42,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,170
2024-07-25,13:09:55,Disney's Hollywood Studios,Toy Story Land,Alien Swirling Saucers,40
2024-07-25,13:09:55,Disney's Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,40
2024-07-25,13:09:55,Disney's Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,15
2024-07-25,13:09:55,Disney's Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,65
2024-07-25,13:09:55,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,95
2024-07-25,13:09:55,Disney's Hollywood Studios,Grand Avenue,Muppet*Vision 3D,10
2024-07-25,13:09:55,Disney's Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith,Atração indisponível agora
2024-07-25,13:09:55,Disney's Hollywood Studios,Toy Story Land,Slinky Dog Dash,85
2024-07-25,13:09:55,Disney's Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,40
2024-07-25,13:09:55,Disney's Hollywood Studios,Animation Courtyard,Star Wars Launch Bay: Meet Chewbacca,25
2024-07-25,13:09:55,Disney's Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,Atração indisponível agora
2024-07-25,13:09:55,Disney's Hollywood Studios,Toy Story Land,Toy Story Mania!,60
2024-07-25,13:09:55,Disney's Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,170
